colour	shape	x	y	showSelectedlegendshape	showSelectedlegendcolour	PANEL	fill
#F8766D	16	1	0.995715538721293	0	e-2	1	#F8766D
#F8766D	16	2	0.996598809508242	0	e-2	1	#F8766D
#7CAE00	16	1	0.996188439494715	0	e-3	1	#7CAE00
#7CAE00	16	2	0.99654636887415	0	e-3	1	#7CAE00
#00BFC4	17	1	0.995693968341027	-1	e-4	1	#00BFC4
#00BFC4	17	2	0.996539684382171	-1	e-4	1	#00BFC4
#C77CFF	16	1	0.995726092126156	0	e-4e5	1	#C77CFF
#C77CFF	16	2	0.996869102953493	0	e-4e5	1	#C77CFF
#F8766D	16	1	0.995535714285715	0	e-2	2	#F8766D
#F8766D	16	2	0.995535714285715	0	e-2	2	#F8766D
#7CAE00	16	1	0.995535714285715	0	e-3	2	#7CAE00
#7CAE00	16	2	0.995535714285715	0	e-3	2	#7CAE00
#00BFC4	15	1	0.995535714285715	-3	e-4	2	#00BFC4
#00BFC4	17	2	0.995535714285715	-1	e-4	2	#00BFC4
#C77CFF	16	1	0.993303571428572	0	e-4e5	2	#C77CFF
#C77CFF	16	2	0.995535714285715	0	e-4e5	2	#C77CFF
#F8766D	16	1	0.986394557823129	0	e-2	3	#F8766D
#F8766D	16	2	0.986394557823129	0	e-2	3	#F8766D
#7CAE00	16	1	0.986394557823129	0	e-3	3	#7CAE00
#7CAE00	16	2	0.986394557823129	0	e-3	3	#7CAE00
#00BFC4	16	1	0.986394557823129	0	e-4	3	#00BFC4
#00BFC4	17	2	0.986394557823129	-1	e-4	3	#00BFC4
#C77CFF	16	1	0.987528344671202	0	e-4e5	3	#C77CFF
#C77CFF	16	2	0.986394557823129	0	e-4e5	3	#C77CFF
#F8766D	16	1	0.984126984126984	0	e-2	4	#F8766D
#F8766D	16	2	0.975714285714286	0	e-2	4	#F8766D
#7CAE00	16	1	0.983333333333334	0	e-3	4	#7CAE00
#7CAE00	16	2	0.975714285714286	0	e-3	4	#7CAE00
#00BFC4	17	1	0.984126984126984	-1	e-4	4	#00BFC4
#00BFC4	17	2	0.975714285714286	-1	e-4	4	#00BFC4
#C77CFF	16	1	0.985714285714286	0	e-4e5	4	#C77CFF
#C77CFF	16	2	0.98015873015873	0	e-4e5	4	#C77CFF
#F8766D	16	1	0.97926209372638	0	e-2	5	#F8766D
#F8766D	16	2	0.980402494331066	0	e-2	5	#F8766D
#7CAE00	16	1	0.980083144368858	0	e-3	5	#7CAE00
#7CAE00	16	2	0.977706916099773	0	e-3	5	#7CAE00
#00BFC4	17	1	0.980182350718065	-1	e-4	5	#00BFC4
#00BFC4	17	2	0.978268140589569	-1	e-4	5	#00BFC4
#C77CFF	16	1	0.980125661375661	0	e-4e5	5	#C77CFF
#C77CFF	16	2	0.981434240362812	0	e-4e5	5	#C77CFF
#F8766D	16	1	0.935361842105263	0	e-2	6	#F8766D
#F8766D	16	2	0.930971659919029	0	e-2	6	#F8766D
#7CAE00	16	1	0.936791497975709	0	e-3	6	#7CAE00
#7CAE00	16	2	0.930161943319838	0	e-3	6	#7CAE00
#00BFC4	17	1	0.944964574898785	-1	e-4	6	#00BFC4
#00BFC4	17	2	0.941128663003663	-1	e-4	6	#00BFC4
#C77CFF	16	1	0.928846153846154	0	e-4e5	6	#C77CFF
#C77CFF	16	2	0.932841117216117	0	e-4e5	6	#C77CFF
#F8766D	16	1	0.853092105263158	0	e-2	7	#F8766D
#F8766D	16	2	0.853092105263158	0	e-2	7	#F8766D
#7CAE00	16	1	0.925986842105263	0	e-3	7	#7CAE00
#7CAE00	16	2	0.853092105263158	0	e-3	7	#7CAE00
#00BFC4	17	1	0.925986842105263	-1	e-4	7	#00BFC4
#00BFC4	17	2	0.925986842105263	-1	e-4	7	#00BFC4
#C77CFF	16	1	0.905641447368421	0	e-4e5	7	#C77CFF
#C77CFF	16	2	0.925986842105263	0	e-4e5	7	#C77CFF
#F8766D	16	1	0.889566395663957	0	e-2	8	#F8766D
#F8766D	16	2	0.895663956639567	0	e-2	8	#F8766D
#7CAE00	16	1	0.886517615176152	0	e-3	8	#7CAE00
#7CAE00	16	2	0.892255250677507	0	e-3	8	#7CAE00
#00BFC4	17	1	0.886771680216803	-1	e-4	8	#00BFC4
#00BFC4	17	2	0.893123306233063	-1	e-4	8	#00BFC4
#C77CFF	16	1	0.875846883468835	0	e-4e5	8	#C77CFF
#C77CFF	16	2	0.892297594850949	0	e-4e5	8	#C77CFF
#F8766D	16	1	0.873516746972314	0	e-2	9	#F8766D
#F8766D	16	2	0.872986390922974	0	e-2	9	#F8766D
#7CAE00	16	1	0.881972104007964	0	e-3	9	#7CAE00
#7CAE00	16	2	0.882373453565954	0	e-3	9	#7CAE00
#00BFC4	17	1	0.875257191057685	-1	e-4	9	#00BFC4
#00BFC4	17	2	0.875098523794086	-1	e-4	9	#00BFC4
#C77CFF	16	1	0.873683419070833	0	e-4e5	9	#C77CFF
#C77CFF	16	2	0.87250467139295	0	e-4e5	9	#C77CFF
#F8766D	16	1	0.835322359396434	0	e-2	10	#F8766D
#F8766D	16	2	0.834615912208505	0	e-2	10	#F8766D
#7CAE00	16	1	0.838907964677641	0	e-3	10	#7CAE00
#7CAE00	16	2	0.837167352537723	0	e-3	10	#7CAE00
#00BFC4	17	1	0.839423868312758	-1	e-4	10	#00BFC4
#00BFC4	17	2	0.836440329218107	-1	e-4	10	#00BFC4
#C77CFF	16	1	0.832105624142661	0	e-4e5	10	#C77CFF
#C77CFF	16	2	0.833731138545953	0	e-4e5	10	#C77CFF
#F8766D	16	1	0.837396986227855	0	e-2	11	#F8766D
#F8766D	16	2	0.837106120481026	0	e-2	11	#F8766D
#7CAE00	16	1	0.826776033941273	0	e-3	11	#7CAE00
#7CAE00	16	2	0.831951120451065	0	e-3	11	#7CAE00
#00BFC4	17	1	0.828719323278525	-1	e-4	11	#00BFC4
#00BFC4	17	2	0.822185587219458	-1	e-4	11	#00BFC4
#C77CFF	16	1	0.834158148683869	0	e-4e5	11	#C77CFF
#C77CFF	16	2	0.834728453080541	0	e-4e5	11	#C77CFF
#F8766D	16	1	0.791644736842105	0	e-2	12	#F8766D
#F8766D	16	2	0.8225	0	e-2	12	#F8766D
#7CAE00	16	1	0.795877192982456	0	e-3	12	#7CAE00
#7CAE00	16	2	0.826315789473684	0	e-3	12	#7CAE00
#00BFC4	17	1	0.792894736842106	-1	e-4	12	#00BFC4
#00BFC4	17	2	0.815263157894737	-1	e-4	12	#00BFC4
#C77CFF	16	1	0.814078947368421	0	e-4e5	12	#C77CFF
#C77CFF	16	2	0.829078947368421	0	e-4e5	12	#C77CFF
#F8766D	16	1	0.794376912525061	0	e-2	13	#F8766D
#F8766D	16	2	0.802028302439826	0	e-2	13	#F8766D
#7CAE00	16	1	0.795339828590857	0	e-3	13	#7CAE00
#7CAE00	16	2	0.795074156144115	0	e-3	13	#7CAE00
#00BFC4	17	1	0.828233852719449	-1	e-4	13	#00BFC4
#00BFC4	17	2	0.79322664228014	-1	e-4	13	#00BFC4
#C77CFF	16	1	0.802797533209056	0	e-4e5	13	#C77CFF
#C77CFF	16	2	0.795339828590858	0	e-4e5	13	#C77CFF
#F8766D	16	1	0.814102564102564	0	e-2	14	#F8766D
#F8766D	16	2	0.787660256410256	0	e-2	14	#F8766D
#7CAE00	17	1	0.814102564102564	-1	e-3	14	#7CAE00
#7CAE00	16	2	0.789797008547009	0	e-3	14	#7CAE00
#00BFC4	17	1	0.794070512820513	-1	e-4	14	#00BFC4
#00BFC4	17	2	0.788194444444444	-1	e-4	14	#00BFC4
#C77CFF	16	1	0.797542735042735	0	e-4e5	14	#C77CFF
#C77CFF	16	2	0.787660256410256	0	e-4e5	14	#C77CFF
#F8766D	16	1	0.789625850340136	0	e-2	15	#F8766D
#F8766D	16	2	0.799829931972789	0	e-2	15	#F8766D
#7CAE00	16	1	0.789625850340136	0	e-3	15	#7CAE00
#7CAE00	16	2	0.789625850340136	0	e-3	15	#7CAE00
#00BFC4	17	1	0.789625850340136	-1	e-4	15	#00BFC4
#00BFC4	17	2	0.779421768707483	-1	e-4	15	#00BFC4
#C77CFF	16	1	0.768792517006803	0	e-4e5	15	#C77CFF
#C77CFF	16	2	0.779421768707483	0	e-4e5	15	#C77CFF
#F8766D	16	1	0.788180155464106	0	e-2	16	#F8766D
#F8766D	16	2	0.786884621246761	0	e-2	16	#F8766D
#7CAE00	16	1	0.782254991617132	0	e-3	16	#7CAE00
#7CAE00	16	2	0.780559365950313	0	e-3	16	#7CAE00
#00BFC4	17	1	0.784579332418839	-1	e-4	16	#00BFC4
#00BFC4	17	2	0.784960371894528	-1	e-4	16	#00BFC4
#C77CFF	16	1	0.783302850175279	0	e-4e5	16	#C77CFF
#C77CFF	16	2	0.788237311385459	0	e-4e5	16	#C77CFF
#F8766D	16	1	0.751889338731444	0	e-2	17	#F8766D
#F8766D	16	2	0.756207827260458	0	e-2	17	#F8766D
#7CAE00	17	1	0.754419703103914	-1	e-3	17	#7CAE00
#7CAE00	17	2	0.746390013495277	-1	e-3	17	#7CAE00
#00BFC4	17	1	0.750877192982456	-1	e-4	17	#00BFC4
#00BFC4	17	2	0.746390013495277	-1	e-4	17	#00BFC4
#C77CFF	16	1	0.764450600184672	0	e-4e5	17	#C77CFF
#C77CFF	16	2	0.75881809787627	0	e-4e5	17	#C77CFF
#F8766D	16	1	0.747453310696095	0	e-2	18	#F8766D
#F8766D	16	2	0.741199773627617	0	e-2	18	#F8766D
#7CAE00	16	1	0.750970167353868	0	e-3	18	#7CAE00
#7CAE00	16	2	0.739855687606112	0	e-3	18	#7CAE00
#00BFC4	17	1	0.747877758913412	-1	e-4	18	#00BFC4
#00BFC4	17	2	0.741171477079796	-1	e-4	18	#00BFC4
#C77CFF	16	1	0.742784380305602	0	e-4e5	18	#C77CFF
#C77CFF	16	2	0.741632306572883	0	e-4e5	18	#C77CFF
